style,new_filename,title,source,size_bytes,pixelsy,pixelsx,genre,date,artist
Romanticism,84512.jpg,Procession in Naples ,wikiart,7896792.0,7352.0,6238.0,cityscape,,Franz Richard Unterberger
Romanticism,99442.jpg,Storm at sea,wikiart,3189597.0,5811.0,7444.0,marina,1873,Ivan Aivazovsky
Romanticism,75956.jpg,The Constitution of the 3rd May 1791,wikipedia,7284812.0,4135.0,7459.0,history painting,1891.0,Jan Matejko
Romanticism,7486.jpg,Death of Eleazer,wikiart,29811319.0,6068.0,4915.0,religious painting,1866,Gustave Dore
Romanticism,35766.jpg,The-Deluge,wikiart,32443139.0,6219.0,4770.0,religious painting,,Gustave Dore
Romanticism,31977.jpg,The hoarders and wasters,wikiart,24158097.0,4678.0,5878.0,illustration,,Gustave Dore
Romanticism,56906.jpg,The Fighting Temeraire tugged to her last berth to be broken up,wikiart,5103820.0,4226.0,5684.0,marina,1839,William Turner
Romanticism,81750.jpg,The Ninth Wave,wikiart,16019462.0,3840.0,5815.0,marina,1850,Ivan Aivazovsky
Impressionism,29616.jpg,Rising Road,wikiart,3587461.0,4087.0,5164.0,genre painting,1881,Gustave Caillebotte
Romanticism,75895.jpg,Self-portrait with stand,wikiart,9816878.0,5280.0,3792.0,self-portrait,1879,Ferdinand Hodler
Impressionism,38383.jpg,Seated nude,wikiart,11270882.0,5124.0,3642.0,nude painting (nu),1905,Theo van Rysselberghe
Romanticism,71952.jpg,The cemetery in Gastein,wikiart,11514609.0,4368.0,4242.0,landscape,1898,Rudolf von Alt
Romanticism,7020.jpg,The Spittler in Nuremberg,wikiart,11552746.0,5076.0,3636.0,cityscape,1856,Rudolf von Alt
Impressionism,95360.jpg,Interior (The Rape),wikiart,1824204.0,3349.0,5382.0,interior,1869,Edgar Degas
Romanticism,3732.jpg,In the Bay of Naples,wikiart,3930753.0,4848.0,3576.0,genre painting,,Franz Richard Unterberger
Romanticism,62387.jpg,Rustic life ,wikiart,3426936.0,4266.0,3999.0,genre painting,1887.0,Akseli Gallen-Kallela
Romanticism,22404.jpg,Portrait of a young lady,wikiart,3681084.0,4683.0,3618.0,portrait,1906,Alfred Stevens
Romanticism,41164.jpg,"A Minatarre or Big bellied indian, plate 17 from Volume 2 of 'Travels in the Interior of North America'",wikiart,3824113.0,4731.0,3528.0,portrait,1843,Karl Bodmer
Impressionism,49757.jpg,"The Manneport, Rock Arch West of Etretat",wikiart,4873803.0,3611.0,4540.0,landscape,1883,Claude Monet
Romanticism,45523.jpg,A morning in Interlaken,wikiart,11564302.0,3408.0,4806.0,landscape,1875,Ferdinand Hodler
Romanticism,62013.jpg,"The Interior of a Hut of a Mandan Chief, plate 19 from Volume 2 of 'Travels in the Interior of North America'",wikiart,3468976.0,3392.0,4811.0,interior,1844,Karl Bodmer
Romanticism,95342.jpg,"Buffalo-Dance of the Mandan Indians in front of their Medicine Lodge in Mih-Tutta-Hankush, plate 18 from Volume 2 of 'Travels in the Interior of North America'",wikiart,4055351.0,3360.0,4811.0,genre painting,1843,Karl Bodmer
Impressionism,53841.jpg,Rodez,wikiart,8730590.0,3600.0,4464.0,cityscape,c.1923,Paul Signac
