Percentages,filename,true classes,predicted classes,style,title,source,size_bytes,pixelsy,pixelsx,genre,date,artist,Year
39.94,84512.jpg,1.0,0.0,Romanticism,Procession in Naples ,wikiart,7896792.0,7352.0,6238.0,cityscape,0,Franz Richard Unterberger,1870
15.06,99442.jpg,1.0,0.0,Romanticism,Storm at sea,wikiart,3189597.0,5811.0,7444.0,marina,1873,Ivan Aivazovsky,1873
9.81,75956.jpg,1.0,0.0,Romanticism,The Constitution of the 3rd May 1791,wikipedia,7284812.0,4135.0,7459.0,history painting,1891.0,Jan Matejko,1891
44.26,7486.jpg,1.0,0.0,Romanticism,Death of Eleazer,wikiart,29811319.0,6068.0,4915.0,religious painting,1866,Gustave Dore,1866
54.48,35766.jpg,1.0,1.0,Romanticism,The-Deluge,wikiart,32443139.0,6219.0,4770.0,religious painting,0,Gustave Dore,1870
97.75,31977.jpg,1.0,1.0,Romanticism,The hoarders and wasters,wikiart,24158097.0,4678.0,5878.0,illustration,0,Gustave Dore,1870
87.08,56906.jpg,1.0,1.0,Romanticism,The Fighting Temeraire tugged to her last berth to be broken up,wikiart,5103820.0,4226.0,5684.0,marina,1839,William Turner,1839
98.47,81750.jpg,1.0,1.0,Romanticism,The Ninth Wave,wikiart,16019462.0,3840.0,5815.0,marina,1850,Ivan Aivazovsky,1850
96.7,29616.jpg,0.0,1.0,Impressionism,Rising Road,wikiart,3587461.0,4087.0,5164.0,genre painting,1881,Gustave Caillebotte,1881
71.57,75895.jpg,1.0,1.0,Romanticism,Self-portrait with stand,wikiart,9816878.0,5280.0,3792.0,self-portrait,1879,Ferdinand Hodler,1879
65.8,38383.jpg,0.0,1.0,Impressionism,Seated nude,wikiart,11270882.0,5124.0,3642.0,nude painting (nu),1905,Theo van Rysselberghe,1905
23.69,71952.jpg,1.0,0.0,Romanticism,The cemetery in Gastein,wikiart,11514609.0,4368.0,4242.0,landscape,1898,Rudolf von Alt,1898
3.02,7020.jpg,1.0,0.0,Romanticism,The Spittler in Nuremberg,wikiart,11552746.0,5076.0,3636.0,cityscape,1856,Rudolf von Alt,1856
42.51,95360.jpg,0.0,0.0,Impressionism,Interior (The Rape),wikiart,1824204.0,3349.0,5382.0,interior,1869,Edgar Degas,1869
5.6,3732.jpg,1.0,0.0,Romanticism,In the Bay of Naples,wikiart,3930753.0,4848.0,3576.0,genre painting,0,Franz Richard Unterberger,1870
1.74,62387.jpg,1.0,0.0,Romanticism,Rustic life ,wikiart,3426936.0,4266.0,3999.0,genre painting,1887.0,Akseli Gallen-Kallela,1887
91.9,22404.jpg,1.0,1.0,Romanticism,Portrait of a young lady,wikiart,3681084.0,4683.0,3618.0,portrait,1906,Alfred Stevens,1906
81.45,41164.jpg,1.0,1.0,Romanticism,"A Minatarre or Big bellied indian, plate 17 from Volume 2 of 'Travels in the Interior of North America'",wikiart,3824113.0,4731.0,3528.0,portrait,1843,Karl Bodmer,1843
3.26,49757.jpg,0.0,0.0,Impressionism,"The Manneport, Rock Arch West of Etretat",wikiart,4873803.0,3611.0,4540.0,landscape,1883,Claude Monet,1883
10.64,45523.jpg,1.0,0.0,Romanticism,A morning in Interlaken,wikiart,11564302.0,3408.0,4806.0,landscape,1875,Ferdinand Hodler,1875
18.01,62013.jpg,1.0,0.0,Romanticism,"The Interior of a Hut of a Mandan Chief, plate 19 from Volume 2 of 'Travels in the Interior of North America'",wikiart,3468976.0,3392.0,4811.0,interior,1844,Karl Bodmer,1844
6.24,95342.jpg,1.0,0.0,Romanticism,"Buffalo-Dance of the Mandan Indians in front of their Medicine Lodge in Mih-Tutta-Hankush, plate 18 from Volume 2 of 'Travels in the Interior of North America'",wikiart,4055351.0,3360.0,4811.0,genre painting,1843,Karl Bodmer,1843
17.82,53841.jpg,0.0,0.0,Impressionism,Rodez,wikiart,8730590.0,3600.0,4464.0,cityscape,c.1923,Paul Signac,1923
11.76,99889.jpg,1.0,0.0,Romanticism,"Wahk-Ta-Ge-Li, a Sioux Warrior, plate 8 from Volume 2 of 'Travels in the Interior of North America'",wikiart,3700164.0,4755.0,3376.0,portrait,1844,Karl Bodmer,1844
79.63,50480.jpg,1.0,1.0,Romanticism,"A Missouri Indian, an Oto Indian and the Chief of the Puncas, plate 7 from 'Travels in the Interior of North America'",wikiart,2790279.0,3528.0,4410.0,portrait,1844,Karl Bodmer,1844
15.96,39644.jpg,1.0,0.0,Romanticism,View of Bad Gastein,wikiart,10202901.0,4572.0,3342.0,landscape,1888,Rudolf von Alt,1888
70.17,101078.jpg,1.0,1.0,Romanticism,At the Jonction,wikiart,9527119.0,3246.0,4704.0,landscape,c.1880,Ferdinand Hodler,1880
26.84,85018.jpg,0.0,0.0,Impressionism,Sitting Girl,wikiart,8423735.0,3396.0,4476.0,sketch and study,1917,Pierre-Auguste Renoir,1917
4.83,46316.jpg,1.0,0.0,Romanticism,"Encampment of the Piekann Indians, plate 43 from Volume 2 of 'Travels in the Interior of North America'",wikiart,3213039.0,3288.0,4562.0,genre painting,1844,Karl Bodmer,1844
43.97,81912.jpg,0.0,0.0,Impressionism,The Look at Montauban in rain,wikiart,8710775.0,3348.0,4470.0,landscape,c.1922,Paul Signac,1922
49.76,17146.jpg,0.0,0.0,Impressionism,Prayer in the Saint Pierre Cathedral in Geneva,wikiart,9477034.0,4548.0,3240.0,genre painting,1882,Ferdinand Hodler,1882
28.08,44054.jpg,1.0,0.0,Romanticism,"Noapeh, an Assiniboin Indian and Psihdja-Sahpa, a Yanktonan Indian, plate 12 from Volume 2 of 'Travels in the Interior of North America'",wikiart,3096063.0,3384.0,4322.0,portrait,1844,Karl Bodmer,1844
53.72,49235.jpg,1.0,1.0,Romanticism,View of the Ducal Palace in Venice,wikiart,9717534.0,3438.0,4248.0,cityscape,1874,Rudolf von Alt,1874
80.61,79781.jpg,1.0,1.0,Romanticism,"Pehriska-Ruhpa, Minatarre Warrior in the Costume of the Dog Dance, plate 23 from Volume 2 of 'Travels in the Interior of North America'",wikiart,3682091.0,4466.0,3256.0,genre painting,1844,Karl Bodmer,1844
31.33,66594.jpg,0.0,0.0,Impressionism,Seamstress,wikiart,9468048.0,4284.0,3384.0,genre painting,1885,Ferdinand Hodler,1885
53.57,82310.jpg,1.0,1.0,Romanticism,The Duke of Wellington,wikiart,4770134.0,4226.0,3406.0,portrait,1814,Francisco Goya,1814
28.98,39533.jpg,1.0,0.0,Romanticism,Reading the Will ,wikipedia,7374950.0,3042.0,4692.0,genre painting,1821,David Wilkie,1821
25.87,95359.jpg,1.0,0.0,Romanticism,Mandan indians,wikiart,3882309.0,4194.0,3392.0,portrait,1843,Karl Bodmer,1843
21.2,5241.jpg,0.0,0.0,Impressionism,Girl with Peaches ,wikiart,7852273.0,4000.0,3555.0,portrait,1887.0,Valentin Serov,1887
38.98,25503.jpg,1.0,0.0,Romanticism,Louis Antoine de Saint Just,wikiart,1242179.0,4387.0,3212.0,portrait,1793,Pierre-Paul Prud'hon,1793
68.37,89279.jpg,1.0,1.0,Romanticism,"Chief of the Blood Indians, War Chief of the Piekann Indians and a Koutani Indian, plate 46 from Volume 2 of 'Travels in the Interior of North America'",wikiart,3165793.0,3240.0,4338.0,portrait,1844,Karl Bodmer,1844
96.47,25251.jpg,1.0,1.0,Romanticism,The Subsiding of the Waters of the Deluge,wikiart,4728256.0,3240.0,4320.0,landscape,1829,Thomas Cole,1829
29.58,8943.jpg,0.0,0.0,Impressionism,Samoëns,wikiart,8639906.0,3258.0,4296.0,cityscape,c.1882,Ferdinand Hodler,1882
40.27,35557.jpg,1.0,0.0,Romanticism,The St. Stephen's Cathedral in Vienna,wikiart,9442520.0,4818.0,2880.0,cityscape,1847,Rudolf von Alt,1847
20.39,19040.jpg,1.0,0.0,Romanticism,Portrait of Alexander Pushkin ,wikiart,10862180.0,4000.0,3455.0,portrait,1827,Orest Kiprensky,1827
52.87,1049.jpg,1.0,1.0,Romanticism,Purrumbete from across the lake ,wikiart,3375727.0,2862.0,4793.0,landscape,1858.0,Eugene von Guerard,1858
49.47,22289.jpg,0.0,0.0,Impressionism,The banks of the Loing Moret,wikiart,7207696.0,3042.0,4476.0,landscape,1885,Alfred Sisley,1885
50.28,8250.jpg,0.0,1.0,Impressionism,Le Havre with rain clouds,wikiart,7731924.0,3036.0,4482.0,cityscape,1922,Paul Signac,1922
12.39,47312.jpg,1.0,0.0,Romanticism,The main square in Bratislava,wikiart,9044942.0,3204.0,4236.0,cityscape,1843,Rudolf von Alt,1843
9.69,32252.jpg,1.0,0.0,Romanticism,View of Ragusa,wikiart,6971764.0,3276.0,4122.0,landscape,1841,Rudolf von Alt,1841
50.07,81776.jpg,1.0,1.0,Romanticism,"Woman of the Snake tribe and woman of the Cree tribe, plate 33  from Volume 1 of 'Travels in the Interior of North America'",wikiart,2610544.0,3240.0,4162.0,portrait,1832,Karl Bodmer,1832
31.89,25480.jpg,1.0,0.0,Romanticism,Interior in Palace Windischgratz in the race in Vienna,wikiart,8415204.0,3174.0,4242.0,interior,1848,Rudolf von Alt,1848
22.55,56338.jpg,1.0,0.0,Romanticism,The iron foundry in Kitschelt Skodagasse in Vienna,wikiart,9360592.0,3174.0,4242.0,cityscape,1903,Rudolf von Alt,1903
63.47,99956.jpg,0.0,1.0,Impressionism,Seated bearded man,wikiart,8758806.0,4536.0,2964.0,portrait,1884,Ferdinand Hodler,1884
32.73,85839.jpg,1.0,0.0,Romanticism,"A Mandan village, plate 16 from Volume 1 of 'Travels in the Interior of North America'",wikiart,2973213.0,3280.0,4090.0,landscape,1843,Karl Bodmer,1843
13.62,30031.jpg,1.0,0.0,Romanticism,Count Casimir Batthyány in his saloon at Castle Siklós,wikiart,9332308.0,3174.0,4224.0,genre painting,1844,Rudolf von Alt,1844
75.92,28530.jpg,1.0,1.0,Romanticism,"Funeral Scaffold of a Sioux Chief near Fort Pierre, plate 11 from Volume 2 of 'Travels in the Interior of North America'",wikiart,3224183.0,3344.0,3986.0,genre painting,1844,Karl Bodmer,1844
9.71,16339.jpg,1.0,0.0,Romanticism,The Pia of Tolomei,wikiart,8741918.0,3426.0,3882.0,literary painting,1880,Dante Gabriel Rossetti,1880
23.7,47838.jpg,1.0,0.0,Romanticism,View of Klosterneuburg,wikiart,8833470.0,3690.0,3600.0,cityscape,1890,Rudolf von Alt,1890
91.19,38694.jpg,1.0,1.0,Romanticism,The courtyard of the Doge's Palace in Venice,wikiart,9216608.0,3132.0,4230.0,cityscape,1867,Rudolf von Alt,1867
81.64,23382.jpg,1.0,1.0,Romanticism,A portrait of a young girl ,wikiart,1910217.0,4041.0,3278.0,portrait,1889.0,Leon Bonnat,1889
33.24,186.jpg,1.0,0.0,Romanticism,Lake Traun,wikiart,7063983.0,3258.0,4056.0,landscape,1840,Rudolf von Alt,1840
49.09,40401.jpg,1.0,0.0,Romanticism,Study of a Dapple Grey,wikiart,3591444.0,3287.0,4019.0,animal painting,1824,Theodore Gericault,1824
38.54,88229.jpg,1.0,0.0,Romanticism,"Dr. Washington Epps, My Doctor",wikiart,2562976.0,3884.0,3383.0,portrait,1885,Sir Lawrence Alma-Tadema,1885
2.02,50103.jpg,1.0,0.0,Romanticism,The Town Hall in Mödling,wikiart,7830740.0,3102.0,4224.0,cityscape,1842,Rudolf von Alt,1842
84.51,93353.jpg,0.0,1.0,Impressionism,At the Beach in Nice,wikiart,693550.0,2907.0,4480.0,genre painting,1882,Berthe Morisot,1882
98.39,28188.jpg,1.0,1.0,Romanticism,The Basilica of Santa Maria Maggiore in Rome,wikiart,7209113.0,3198.0,4062.0,cityscape,1837,Rudolf von Alt,1837
32.67,4771.jpg,1.0,0.0,Romanticism,Portrait of Alexander Chelishchev,wikiart,4791295.0,4000.0,3218.0,portrait,c.1809,Orest Kiprensky,1809
12.52,95477.jpg,0.0,0.0,Impressionism,Saint Paul de Vence,wikiart,6325370.0,2856.0,4506.0,landscape,c.1921,Paul Signac,1921
37.27,97187.jpg,1.0,0.0,Romanticism,View from the Monastery of Sant 'Onofrio in Rome,wikiart,8610981.0,3036.0,4236.0,cityscape,1835,Rudolf von Alt,1835
5.35,31199.jpg,1.0,0.0,Romanticism,Motif from Goisern,wikiart,8963868.0,3036.0,4230.0,genre painting,1903,Rudolf von Alt,1903
4.88,55370.jpg,1.0,0.0,Romanticism,Scalp dance of the Minatarres,wikiart,2587021.0,3156.0,4064.0,genre painting,1843,Karl Bodmer,1843
19.91,50355.jpg,1.0,0.0,Romanticism,View of Passau,wikiart,8411601.0,3018.0,4242.0,panorama,1864,Rudolf von Alt,1864
5.83,71149.jpg,0.0,0.0,Impressionism,Columbus in Prison,wikipedia,1998595.0,3148.0,4051.0,genre painting,0,Thomas Eakins,1870
50.96,73658.jpg,1.0,1.0,Romanticism,Storm on Lake Garda,wikiart,8705058.0,3006.0,4236.0,landscape,1839,Rudolf von Alt,1839
52.85,27639.jpg,1.0,1.0,Romanticism,Portrait of K.G.Ravich,wikiart,8333721.0,4000.0,3174.0,portrait,1823,Vasily Tropinin,1823
78.74,17940.jpg,1.0,1.0,Romanticism,Altausseersee with Trisselwand,wikiart,7696428.0,2988.0,4236.0,landscape,1839,Rudolf von Alt,1839
48.31,49766.jpg,1.0,0.0,Romanticism,A corroboree of natives in Mills Plains ,wikiart,4850983.0,3134.0,4001.0,genre painting,1832.0,John Glover,1832
92.99,78023.jpg,1.0,1.0,Romanticism,The parish church in Ofen,wikiart,7581105.0,2922.0,4242.0,cityscape,c.1845,Rudolf von Alt,1845
18.12,73615.jpg,1.0,0.0,Romanticism,Hallstatt,wikiart,7518081.0,3018.0,4098.0,landscape,1845,Rudolf von Alt,1845
26.35,36027.jpg,1.0,0.0,Romanticism,Elegant at Billiards,wikiart,3899755.0,4336.0,2832.0,genre painting,1906,Alfred Stevens,1906
5.95,35919.jpg,0.0,0.0,Impressionism,Apple Trees in Bloom,wikiart,3146250.0,2706.0,4500.0,landscape,1873,Claude Monet,1873
6.99,37664.jpg,0.0,0.0,Impressionism,The fisherman,wikiart,7092761.0,2964.0,4044.0,genre painting,c.1879,Ferdinand Hodler,1879
44.22,13273.jpg,1.0,0.0,Romanticism,Danse de fiançailles detail,wikiart,5932606.0,3998.0,2998.0,design,1885.0,Luc-Olivier Merson,1885
98.43,84515.jpg,1.0,1.0,Romanticism,View of Böckstein and the entrance to Anlauftal,wikiart,8209823.0,2820.0,4248.0,landscape,1875,Rudolf von Alt,1875
24.57,27205.jpg,1.0,0.0,Romanticism,The Imperial Palace Livadia in the Crimea,wikiart,7463882.0,2814.0,4248.0,landscape,1863,Rudolf von Alt,1863
29.3,70005.jpg,1.0,0.0,Romanticism,"Mato-Tope, Adorned with the Insignia of his Warlike Deeds, plate 14 from Volume 2 of 'Travels in the Interior of North America'",wikiart,2525022.0,4058.0,2928.0,portrait,1843,Karl Bodmer,1843
6.33,44296.jpg,0.0,0.0,Impressionism,New England Headlands,wikiart,3761844.0,3450.0,3444.0,landscape,1889,Childe Hassam,1889
25.05,7224.jpg,1.0,0.0,Romanticism,Via Appia at Sunset ,wikiart,6482217.0,2961.0,4000.0,landscape,1845,Alexander Ivanov,1845
35.38,41682.jpg,0.0,0.0,Impressionism,"Poppy Field, Argenteuil",wikiart,2994688.0,2961.0,4000.0,landscape,1875,Claude Monet,1875
14.29,37256.jpg,0.0,0.0,Impressionism,Gardener's House at Antibes,wikiart,3973914.0,2897.0,4075.0,landscape,1888,Claude Monet,1888
2.94,54668.jpg,0.0,0.0,Impressionism,A Lady from Naples,wikiart,1898410.0,3872.0,3048.0,portrait,0,Giuseppe de Nittis,1870
24.9,75073.jpg,1.0,0.0,Romanticism,"Take your Son, Sir",wikiart,4699430.0,4684.0,2492.0,genre painting,0,Ford Madox Brown,1870
