style,new_filename,artist_group,in_train,title,source,size_bytes,pixelsy,pixelsx,genre,date,artist
Romanticism,84512.jpg,train_and_test,FALSE,Procession in Naples ,wikiart,7896792,7352,6238,cityscape,,Franz Richard Unterberger
Romanticism,99442.jpg,train_and_test,TRUE,Storm at sea,wikiart,3189597,5811,7444,marina,1873,Ivan Aivazovsky
Realism,28908.jpg,train_only,TRUE,Yachting in the Mediterranean,wikiart,2484194,4724,6980,genre painting,1896,Julius LeBlanc Stewart
Romanticism,75956.jpg,train_and_test,FALSE,The Constitution of the 3rd May 1791,wikipedia,7284812,4135,7459,history painting,1891,Jan Matejko
Romanticism,7486.jpg,train_and_test,TRUE,Death of Eleazer,wikiart,29811319,6068,4915,religious painting,1866,Gustave Dore
Romanticism,35766.jpg,train_and_test,TRUE,The-Deluge,wikiart,32443139,6219,4770,religious painting,,Gustave Dore
Romanticism,31977.jpg,train_and_test,FALSE,The hoarders and wasters,wikiart,24158097,4678,5878,illustration,,Gustave Dore
Romanticism,56906.jpg,train_and_test,TRUE,The Fighting Temeraire tugged to her last berth to be broken up,wikiart,5103820,4226,5684,marina,1839,William Turner
Realism,633.jpg,train_and_test,TRUE,Nude Woman Standing ,wikipedia,9096636,6264,3648,nude painting (nu),,Thomas Eakins
Romanticism,81750.jpg,train_and_test,TRUE,The Ninth Wave,wikiart,16019462,3840,5815,marina,1850,Ivan Aivazovsky
Impressionism,29616.jpg,train_and_test,FALSE,Rising Road,wikiart,3587461,4087,5164,genre painting,1881,Gustave Caillebotte
Realism,19834.jpg,train_and_test,TRUE,Leveil Heart,wikiart,2026238,5490,3701,genre painting,1892,William-Adolphe Bouguereau
Realism,45276.jpg,train_and_test,TRUE,General George Cadwalader  ,wikiart,8553121,5092,3949,portrait,1880,Thomas Eakins
Romanticism,75895.jpg,train_and_test,TRUE,Self-portrait with stand,wikiart,9816878,5280,3792,self-portrait,1879,Ferdinand Hodler
Realism,80938.jpg,train_and_test,TRUE,Devotion,wikiart,11231877,3966,4992,genre painting,1882,Ferdinand Hodler
Impressionism,38383.jpg,train_and_test,FALSE,Seated nude,wikiart,11270882,5124,3642,nude painting (nu),1905,Theo van Rysselberghe
Romanticism,71952.jpg,train_and_test,TRUE,The cemetery in Gastein,wikiart,11514609,4368,4242,landscape,1898,Rudolf von Alt
Romanticism,7020.jpg,train_and_test,TRUE,The Spittler in Nuremberg,wikiart,11552746,5076,3636,cityscape,1856,Rudolf von Alt
Realism,23209.jpg,train_and_test,TRUE,Self-portrait in Paris,wikiart,9332744,4716,3906,self-portrait,1891,Ferdinand Hodler
Realism,100829.jpg,train_and_test,TRUE,The pastor,wikiart,11552440,5004,3672,portrait,1879,Ferdinand Hodler
Impressionism,95360.jpg,train_and_test,TRUE,Interior (The Rape),wikiart,1824204,3349,5382,interior,1869,Edgar Degas
Realism,48930.jpg,train_and_test,FALSE,The chestnut trees,wikiart,11549531,5202,3402,landscape,1889,Ferdinand Hodler
Romanticism,3732.jpg,train_and_test,TRUE,In the Bay of Naples,wikiart,3930753,4848,3576,genre painting,,Franz Richard Unterberger
