style,new_filename,artist_group,in_train,title,source,size_bytes,pixelsy,pixelsx,genre,date,artist
Romanticism,84512.jpg,train_and_test,False,Procession in Naples ,wikiart,7896792.0,7352.0,6238.0,cityscape,,Franz Richard Unterberger
Romanticism,99442.jpg,train_and_test,True,Storm at sea,wikiart,3189597.0,5811.0,7444.0,marina,1873,Ivan Aivazovsky
Realism,28908.jpg,train_only,True,Yachting in the Mediterranean,wikiart,2484194.0,4724.0,6980.0,genre painting,1896,Julius LeBlanc Stewart
Romanticism,75956.jpg,train_and_test,False,The Constitution of the 3rd May 1791,wikipedia,7284812.0,4135.0,7459.0,history painting,1891.0,Jan Matejko
Romanticism,7486.jpg,train_and_test,True,Death of Eleazer,wikiart,29811319.0,6068.0,4915.0,religious painting,1866,Gustave Dore
Romanticism,35766.jpg,train_and_test,True,The-Deluge,wikiart,32443139.0,6219.0,4770.0,religious painting,,Gustave Dore
Romanticism,31977.jpg,train_and_test,False,The hoarders and wasters,wikiart,24158097.0,4678.0,5878.0,illustration,,Gustave Dore
Romanticism,56906.jpg,train_and_test,True,The Fighting Temeraire tugged to her last berth to be broken up,wikiart,5103820.0,4226.0,5684.0,marina,1839,William Turner
Realism,633.jpg,train_and_test,True,Nude Woman Standing ,wikipedia,9096636.0,6264.0,3648.0,nude painting (nu),,Thomas Eakins
Romanticism,81750.jpg,train_and_test,True,The Ninth Wave,wikiart,16019462.0,3840.0,5815.0,marina,1850,Ivan Aivazovsky
Impressionism,29616.jpg,train_and_test,False,Rising Road,wikiart,3587461.0,4087.0,5164.0,genre painting,1881,Gustave Caillebotte
Realism,19834.jpg,train_and_test,True,Leveil Heart,wikiart,2026238.0,5490.0,3701.0,genre painting,1892,William-Adolphe Bouguereau
Realism,45276.jpg,train_and_test,True,General George Cadwalader  ,wikiart,8553121.0,5092.0,3949.0,portrait,1880,Thomas Eakins
Romanticism,75895.jpg,train_and_test,True,Self-portrait with stand,wikiart,9816878.0,5280.0,3792.0,self-portrait,1879,Ferdinand Hodler
Realism,80938.jpg,train_and_test,True,Devotion,wikiart,11231877.0,3966.0,4992.0,genre painting,1882,Ferdinand Hodler
Impressionism,38383.jpg,train_and_test,False,Seated nude,wikiart,11270882.0,5124.0,3642.0,nude painting (nu),1905,Theo van Rysselberghe
Romanticism,71952.jpg,train_and_test,True,The cemetery in Gastein,wikiart,11514609.0,4368.0,4242.0,landscape,1898,Rudolf von Alt
Romanticism,7020.jpg,train_and_test,True,The Spittler in Nuremberg,wikiart,11552746.0,5076.0,3636.0,cityscape,1856,Rudolf von Alt
